Location;Date;Flpl_NFP;Age;Water height;Plant repeat;Dead;Species;Nb leaves;Presence_Roots;Nb stems;Av length stems;Std length;Av nb nods/stem;Av length internods;Std length internods;;
12;111206;Nfp;14;80;3;A;S;11;N;2;46,0;1,4;7,0;5,8;0,9;;
12;111206;Nfp;14;80;4;A;L;4;I;1;49,0;;6,0;7,0;;;
10;111206;Nfp;14;50;1;D;;;;;;;;;;;
10;111206;Nfp;14;50;2;A;L;10;I;2;41,0;18,4;5,0;7,7;2,4;;
10;111206;Nfp;14;50;3;A;L;6;I;3;41,3;5,8;5,7;6,3;1,5;;
38;111206;Nfp;14;20;1;A;S;20;N;5;50,2;19,9;6,2;7,1;2,5;;
38;111206;Nfp;14;20;2;A;L;33;II;9;51,9;15,0;5,3;8,7;2,2;;
38;111206;Nfp;14;20;3;A;L;18;II;6;46,5;2,3;4,3;8,8;0,9;;
28;111206;Nfp;14;20;1;A;L;10;I;3;48,0;8,5;6,7;6,3;0,5;;
28;111206;Nfp;14;20;2;A;L;18;I;6;48,5;24,4;5,5;8,9;2,9;;
28;111206;Nfp;14;20;3;A;L;11;I;2;72,0;36,8;8,0;7,9;0,4;;
FT1-112;111212;Fldpln;21;112;1;A;S;20;II;5;124,0;24,0;16,4;7,3;1,1;;
FT1-112;111212;Fldpln;21;112;2;A;S;0;II;2;84,0;32,5;14,5;5,4;0,4;;
FT1-112;111212;Fldpln;21;112;3;A;S;20;II;5;123,4;33,9;16,4;7,2;1,4;;
F261-50;111212;Fldpln;21;50;1;A;L;16;I;4;72,8;4,5;15,8;4,7;1,5;;
F261-50;111212;Fldpln;21;50;2;A;L;11;N;4;65,3;2,4;10,0;6,0;0,9;;
F261-50;111212;Fldpln;21;50;3;A;L;12;N;7;63,6;1,9;11,4;5,3;1,0;;
F660-105;111212;Fldpln;21;105;1;A;L;14;II;4;124,3;30,1;15,0;7,8;0,6;;
F660-105;111212;Fldpln;21;105;2;A;L;26;II;3;137,3;24,8;14,7;8,8;0,5;;
F660-105;111212;Fldpln;21;105;3;A;L;27;II;3;134,7;23,4;15,0;9,3;2,8;;
FT2-118;111212;Fldpln;21;118;1;A;S;7;II;2;135,5;9,2;18,0;7,5;2,7;;
FT2-118;111212;Fldpln;21;118;2;A;S;5;II;6;87,7;45,3;12,0;6,4;1,7;;
FT2-118;111212;Fldpln;21;118;3;A;L;20;I;5;114,2;37,5;14,2;7,7;1,6;;
FT2-118;111212;Fldpln;21;118;4;A;L;27;II;4;146,8;13,4;15,5;9,4;2,5;;
F261-80;111212;Fldpln;21;80;1;A;L;21;I;5;85,0;10,5;9,8;8,1;1,5;;
F261-80;111212;Fldpln;21;80;2;A;L;14;I;5;96,6;6,3;12,6;7,4;1,5;;
F261-80;111212;Fldpln;21;80;3;A;L;14;I;4;99,8;5,2;13,8;6,8;0,4;;
13;111221;Nfp;29;20;1;A;S;81;II;10;96,2;38,2;9,7;9,0;2,8;;
13;111221;Nfp;29;20;2;A;S;33;II;4;102,0;21,6;9,8;10,1;4,3;;
13;111221;Nfp;29;20;3;A;S;8;N;2;48,0;1,4;8,5;5,1;0,2;;
27;111221;Nfp;29;20;1;A;L;22;I;3;59,7;26,1;11,3;4,8;1,1;;
27;111221;Nfp;29;20;2;A;L;13;I;2;95,0;7,1;8,5;10,1;1,5;;
27;111221;Nfp;29;20;3;A;S;60;II;10;64,3;4,8;8,9;6,6;0,8;;
30;111221;Nfp;29;20;1;A;L;40;II;6;98,3;25,0;10,0;9,0;1,2;;
30;111221;Nfp;29;20;2;A;L;60;II;11;85,6;33,2;8,1;9,3;1,5;;
30;111221;Nfp;29;20;3;A;L;62;I;6;128,7;41,3;12,0;10,0;3,1;;
2;111221;Nfp;29;50;1;A;L;26;I;6;59,7;7,2;9,7;5,7;1,0;;
2;111221;Nfp;29;50;2;A;L;6;I;1;93,0;;13,0;6,6;;;
2;111221;Nfp;29;50;3;A;L;15;I;2;64,0;1,4;11,0;5,5;1,4;;
21;111221;Nfp;29;50;1;A;L;13;I;1;150,0;;14,0;10,0;;;
21;111221;Nfp;29;50;2;A;L;25;I;2;111,0;8,5;10,5;9,7;1,3;;
21;111221;Nfp;29;50;3;A;L;11;I;3;63,0;45,5;9,7;5,6;2,7;;
14;111221;Nfp;29;50;1;A;L;9;N;1;133,0;;14,0;8,9;;;
14;111221;Nfp;29;50;2;A;L;6;I;1;100,0;;9,0;10,0;;;
14;111221;Nfp;29;50;3;A;L;51;II;8;92,3;16,9;7,1;15,1;14,1;;
47;111221;Nfp;29;80;1;A;S;14;II;3;91,7;14,8;8,3;10,0;2,0;;
47;111221;Nfp;29;80;2;A;L;6;I;1;109,0;;9,0;10,9;;;
47;111221;Nfp;29;80;3;A;L;6;N;1;91,0;;9,0;9,1;;;
35;111221;Nfp;29;80;1;A;L;44;N;3;98,7;40,1;10,0;9,7;2,5;;
35;111221;Nfp;29;80;2;A;L;7;I;1;93,0;;11,0;7,8;;;
35;111221;Nfp;29;80;3;A;L;10;I;1;115,0;;13,0;8,2;;;
20;111221;Nfp;29;80;1;A;L;7;I;1;131,0;;12,0;10,1;;;
20;111221;Nfp;29;80;2;D;;;;;;;;;;;
20;111221;Nfp;29;80;3;A;L;50;I;10;98,6;22,1;9,6;9,4;1,6;;
