ID (plot);ID (sub-block);Location;Cylinder number;Plant number;Type;Water height (theoretical);Water height (true);Inst_Water_height;Max_water_height;Speed;Flooded days;Control;ID (repetition);ID (date);"ID
 (unique ID number)";ID NMK;Dry weight (g);"Date sent 
to Nbo";Date drying;"Weight before
drying chamber (g)";"Weight after 
drying chamber (g)";"Weight paper
 bag (g)";Weight plastic bag (g);Drying duration;Comments;Dry_Matter;
;stem;Fldpln;F261-80;1;stems;80;NA;80;NA;3;32;FldPln;;111212;1194;2244;;111221;111222;9,9;9,35;5,46;;48HRS;;0,55;
;roots;Fldpln;F261-80;1;roots;80;NA;80;NA;3;32;FldPln;;111212;1195;2245;;111221;111222;6,18;5,94;5,46;;48HRS;;0,24;
;GPS261-2-80 Leaves;Fldpln;F261-80;2;leaves;80;NA;80;NA;3;32;FldPln;;111212;1196;2246;;111221;111222;5,98;5,74;5,46;;48HRS;;0,24;
;D.m;Fldpln;F261-80;2;dry_matter;80;NA;80;NA;3;32;FldPln;;111212;1197;2247;;111221;111222;6,38;6,08;5,46;;48HRS;;0,30;
;stem;Fldpln;F261-80;2;stems;80;NA;80;NA;3;32;FldPln;;111212;1198;2248;;111221;111222;11,84;11,16;5,46;;48HRS;;0,68;
;roots;Fldpln;F261-80;2;roots;80;NA;80;NA;3;32;FldPln;;111212;1199;2249;;111221;111222;6,93;6,65;5,46;;48HRS;;0,28;
;GPS261-3-80 Leaves;Fldpln;F261-80;3;leaves;80;NA;80;NA;3;32;FldPln;;111212;1200;2250;;111221;111222;5,95;5,71;5,46;;48HRS;;0,24;
;D.m;Fldpln;F261-80;3;dry_matter;80;NA;80;NA;3;32;FldPln;;111212;1201;2251;;111221;111222;6,4;6,13;5,46;;48HRS;;0,27;
;stem;Fldpln;F261-80;3;stems;80;NA;80;NA;3;32;FldPln;;111212;1202;2252;;111221;111222;11;10,94;5,46;;48HRS;;0,06;
;roots;Fldpln;F261-80;3;roots;80;NA;80;NA;3;32;FldPln;;111212;1203;2253;;111221;111222;7,81;7,46;5,46;;48HRS;;0,35;
;GPS660-1-105 Leaves;Fldpln;F660-105;1;leaves;105;NA;105;NA;3;32;FldPln;;111212;1204;2254;;111221;111222;6,19;5,93;5,46;;48HRS;;0,26;
;D.m;Fldpln;F660-105;1;dry_matter;105;NA;105;NA;3;32;FldPln;;111212;1205;2255;;111221;111222;6,82;6,52;5,46;;48HRS;;0,30;
;stem;Fldpln;F660-105;1;stems;105;NA;105;NA;3;32;FldPln;;111212;1206;2256;;111221;111222;11,35;10,65;5,46;;48HRS;;0,70;
;roots;Fldpln;F660-105;1;roots;105;NA;105;NA;3;32;FldPln;;111212;1207;2257;;111221;111222;6,72;6,44;5,46;;48HRS;;0,28;
;GPS660-2-105 Leaves;Fldpln;F660-105;2;leaves;105;NA;105;NA;3;32;FldPln;;111212;1208;2258;;111221;111222;6,69;6,39;5,46;;48HRS;;0,30;
;D.m;Fldpln;F660-105;2;dry_matter;105;NA;105;NA;3;32;FldPln;;111212;1209;2259;;111221;111222;6,11;5,9;5,46;;48HRS;;0,21;
;stem;Fldpln;F660-105;2;stems;105;NA;105;NA;3;32;FldPln;;111212;1210;2260;;111221;111222;11,06;10,4;5,46;;48HRS;;0,66;
;roots;Fldpln;F660-105;2;roots;105;NA;105;NA;3;32;FldPln;;111212;1211;2261;;111221;111222;7,42;7,08;5,46;;48HRS;;0,34;
;GPS660-3-105 Leaves;Fldpln;F660-105;3;leaves;105;NA;105;NA;3;32;FldPln;;111212;1212;2262;;111221;111222;6,79;6,48;5,46;;48HRS;;0,31;
;D.m;Fldpln;F660-105;3;dry_matter;105;NA;105;NA;3;32;FldPln;;111212;1213;2263;;111221;111222;6,07;5,81;5,46;;48HRS;;0,26;
;stem;Fldpln;F660-105;3;stems;105;NA;105;NA;3;32;FldPln;;111212;1214;2264;;111221;111222;11,66;10,96;5,46;;48HRS;;0,70;
;roots;Fldpln;F660-105;3;roots;105;NA;105;NA;3;32;FldPln;;111212;1215;2265;;111221;111222;6,98;6,69;5,46;;48HRS;;0,29;
;T1-1-112 leaves;Fldpln;FT1-112;1;leaves;112;NA;112;NA;3;32;FldPln;;111212;1216;2266;;111221;111222;6,49;6,24;5,46;;48HRS;;0,25;
;D.m;Fldpln;FT1-112;1;dry_matter;112;NA;112;NA;3;32;FldPln;;111212;1217;2267;;111221;111222;7,63;7,33;5,46;;48HRS;;0,30;
;stem;Fldpln;FT1-112;1;stems;112;NA;112;NA;3;32;FldPln;;111212;1218;2268;;111221;111222;18,27;17,11;5,46;;48HRS;;1,16;
;roots;Fldpln;FT1-112;1;roots;112;NA;112;NA;3;32;FldPln;;111212;1219;2269;;111221;111222;8,54;8,15;5,46;;48HRS;;0,39;
;T1-2-112 leaves;Fldpln;FT1-112;2;leaves;112;NA;112;NA;3;32;FldPln;;111212;1220;2270;;111221;111222;empty;;5,46;;48HRS;;;
;D.m;Fldpln;FT1-112;2;dry_matter;112;NA;112;NA;3;32;FldPln;;111212;1221;2271;;111221;111222;5,87;5,66;5,46;;48HRS;;0,21;
;stem;Fldpln;FT1-112;2;stems;112;NA;112;NA;3;32;FldPln;;111212;1222;2272;;111221;111222;7,91;7,51;5,46;;48HRS;;0,40;
;roots;Fldpln;FT1-112;2;roots;112;NA;112;NA;3;32;FldPln;;111212;1223;2273;;111221;111222;7,11;6,84;5,46;;48HRS;;0,27;
;T1-3-112 leaves;Fldpln;FT1-112;3;leaves;112;NA;112;NA;3;32;FldPln;;111212;1224;2274;;111221;111222;6,17;5,95;5,46;;48HRS;;0,22;
;D.m;Fldpln;FT1-112;3;dry_matter;112;NA;112;NA;3;32;FldPln;;111212;1225;2275;;111221;111222;6,25;5,97;5,46;;48HRS;;0,28;
;stem;Fldpln;FT1-112;3;stems;112;NA;112;NA;3;32;FldPln;;111212;1226;2276;;111221;111222;12,94;11,8;5,46;;48HRS;;1,14;
;roots;Fldpln;FT1-112;3;roots;112;NA;112;NA;3;32;FldPln;;111212;1227;2277;;111221;111222;7,76;7,45;5,46;;48HRS;;0,31;
;T2-1-118 leaves;Fldpln;FT2-118;1;leaves;118;NA;118;NA;3;32;FldPln;;111212;1228;2278;;111221;111222;6;5,74;5,46;;48HRS;;0,26;
;D.m;Fldpln;FT2-118;1;dry_matter;118;NA;118;NA;3;32;FldPln;;111212;1229;2279;;111221;111222;6,31;6,09;5,46;;48HRS;;0,22;
;stem;Fldpln;FT2-118;1;stems;118;NA;118;NA;3;32;FldPln;;111212;1230;2280;;111221;111222;9,55;9,02;5,46;;48HRS;;0,53;
;roots;Fldpln;FT2-118;1;roots;118;NA;118;NA;3;32;FldPln;;111212;1231;2281;;111221;111222;6,9;6,63;5,46;;48HRS;;0,27;
;T2-2-118 leaves;Fldpln;FT2-118;2;leaves;118;NA;118;NA;3;32;FldPln;;111212;1232;2282;;111221;111222;5,81;5,56;5,46;;48HRS;;0,25;
;D.m;Fldpln;FT2-118;2;dry_matter;118;NA;118;NA;3;32;FldPln;;111212;1233;2283;;111221;111222;6,32;6,06;5,46;;48HRS;;0,26;
;stem;Fldpln;FT2-118;2;stems;118;NA;118;NA;3;32;FldPln;;111212;1234;2284;;111221;111222;10,4;9,78;5,46;;48HRS;;0,62;
;roots;Fldpln;FT2-118;2;roots;118;NA;118;NA;3;32;FldPln;;111212;1235;2285;;111221;111222;6,9;6,56;5,46;;48HRS;;0,34;
;T2-3-118 leaves;Fldpln;FT2-118;3;leaves;118;NA;118;NA;3;32;FldPln;;111212;1236;2286;;111221;111222;5,87;5,61;5,46;;48HRS;;0,26;
;D.m;Fldpln;FT2-118;3;dry_matter;118;NA;118;NA;3;32;FldPln;;111212;1237;2287;;111221;111222;6,1;5,86;5,46;;48HRS;;0,24;
;stem;Fldpln;FT2-118;3;stems;118;NA;118;NA;3;32;FldPln;;111212;1238;2288;;111221;111222;8,8;8,34;5,46;;48HRS;;0,46;
;roots;Fldpln;FT2-118;3;roots;118;NA;118;NA;3;32;FldPln;;111212;1239;2289;;111221;111222;6,39;6,14;5,46;;48HRS;;0,25;
;T2-4-118 leaves;Fldpln;FT2-118;4;leaves;118;NA;118;NA;3;32;FldPln;;111212;1240;2290;;111221;111222;6,1;5,9;5,46;;48HRS;;0,20;
;D.m;Fldpln;FT2-118;4;dry_matter;118;NA;118;NA;3;32;FldPln;;111212;1241;2291;;111221;111222;6,53;6,26;5,46;;48HRS;;0,27;
;stem;Fldpln;FT2-118;4;stems;118;NA;118;NA;3;32;FldPln;;111212;1242;2292;;111221;111222;11,18;10,55;5,46;;48HRS;;0,63;
;roots;Fldpln;FT2-118;4;roots;118;NA;118;NA;3;32;FldPln;;111212;1243;2293;;111221;111222;7,05;6,78;5,46;;48HRS;;0,27;
;NFP-13-1-20 leaves;Nfp;13;1;leaves;20;7,9;20;50;0;29;N;;111221;1244;2294;;111221;111222;12,78;12,14;5,46;;48HRS;;0,64;
;D.m;Nfp;13;1;dry_matter;20;7,9;20;50;0;29;N;;111221;1245;2295;;111221;111222;8,96;8,56;5,46;;48HRS;;0,40;
;stem;Nfp;13;1;stems;20;7,9;20;50;0;29;N;;111221;1246;2296;;111221;111222;25,63;23,89;5,46;;48HRS;;1,74;
;roots;Nfp;13;1;roots;20;7,9;20;50;0;29;N;;111221;1247;2297;;111221;111222;12,13;11,5;5,46;;48HRS;;0,63;
;NFP-13-2-20 leaves;Nfp;13;2;leaves;20;7,9;20;50;0;29;N;;111221;1248;2298;;111221;111222;9,3;8,9;5,46;;48HRS;;0,40;
;D.m;Nfp;13;2;dry_matter;20;7,9;20;50;0;29;N;;111221;1249;2299;;111221;111222;7,44;7,11;5,46;;48HRS;;0,33;
;stem;Nfp;13;2;stems;20;7,9;20;50;0;29;N;;111221;1250;2300;;111221;111222;21,17;19,62;5,46;;48HRS;;1,55;
;roots;Nfp;13;2;roots;20;7,9;20;50;0;29;N;;111221;1251;2301;;111221;111222;9,75;9,24;5,46;;48HRS;;0,51;
;NFP-13-3-20 leaves;Nfp;13;3;leaves;20;7,9;20;50;0;29;N;;111221;1252;2302;;111221;111222;5,77;5,52;5,46;;48HRS;;0,25;
;D.m;Nfp;13;3;dry_matter;20;7,9;20;50;0;29;N;;111221;1253;2303;;111221;111222;6,29;6,01;5,46;;48HRS;;0,28;
;stem;Nfp;13;3;stems;20;7,9;20;50;0;29;N;;111221;1254;2304;;111221;111222;8,12;7,71;5,46;;48HRS;;0,41;
;roots;Nfp;13;3;roots;20;7,9;20;50;0;29;N;;111221;1255;2305;;111221;111222;6,45;6,17;5,46;;48HRS;;0,28;
;NFP27-1-20 leaves;Nfp;27;1;leaves;20;7,9;20;50;0;29;N;;111221;1256;2306;;111221;111222;6,6;6,31;5,46;;48HRS;;0,29;
;D.m;Nfp;27;1;dry_matter;20;7,9;20;50;0;29;N;;111221;1257;2307;;111221;111222;6,26;5,99;5,46;;48HRS;;0,27;
;stem;Nfp;27;1;stems;20;7,9;20;50;0;29;N;;111221;1258;2308;;111221;111222;9,85;9,32;5,46;;48HRS;;0,53;
;roots;Nfp;27;1;roots;20;7,9;20;50;0;29;N;;111221;1259;2309;;111221;111222;8,63;8,19;5,46;;48HRS;;0,44;
;NFP27-2-20 leaves;Nfp;27;2;leaves;20;7,9;20;50;0;29;N;;111221;1260;2310;;111221;111222;6,56;6,23;5,46;;48HRS;;0,33;
;D.m;Nfp;27;2;dry_matter;20;7,9;20;50;0;29;N;;111221;1261;2311;;111221;111222;6,69;6,42;5,46;;48HRS;;0,27;
;stem;Nfp;27;2;stems;20;7,9;20;50;0;29;N;;111221;1262;2312;;111221;111222;8,29;7,91;5,46;;48HRS;;0,38;
;roots;Nfp;27;2;roots;20;7,9;20;50;0;29;N;;111221;1263;2313;;111221;111222;7,6;7,2;5,46;;48HRS;;0,40;
;NFP27-3-20 leaves;Nfp;27;3;leaves;20;7,9;20;50;0;29;N;;111221;1264;2314;;111221;111222;8,04;7,66;5,46;;48HRS;;0,38;
;D.m;Nfp;27;3;dry_matter;20;7,9;20;50;0;29;N;;111221;1265;2315;;111221;111222;6,88;6,58;5,46;;48HRS;;0,30;
;stem;Nfp;27;3;stems;20;7,9;20;50;0;29;N;;111221;1266;2316;;111221;111222;17,82;16,6;5,46;;48HRS;;1,22;
;roots;Nfp;27;3;roots;20;7,9;20;50;0;29;N;;111221;1267;2317;;111221;111222;9,04;8,55;5,46;;48HRS;;0,49;
;NFP30-1-20 leaves;Nfp;30;1;leaves;20;7,9;20;50;0;29;N;;111221;1268;2318;;111221;111222;7,77;7,4;5,46;;48HRS;;0,37;
;D.m;Nfp;30;1;dry_matter;20;7,9;20;50;0;29;N;;111221;1269;2319;;111221;111222;6,61;6,29;5,46;;48HRS;;0,32;
;stem;Nfp;30;1;stems;20;7,9;20;50;0;29;N;;111221;1270;2320;;111221;111222;12,19;11,45;5,46;;48HRS;;0,74;
;roots;Nfp;30;1;roots;20;7,9;20;50;0;29;N;;111221;1271;2321;;111221;111222;9,59;8,98;5,46;;48HRS;;0,61;
;NFP30-2-20 leaves;Nfp;30;2;leaves;20;7,9;20;50;0;29;N;;111221;1272;2322;;111221;111222;8,71;8,28;5,46;;48HRS;;0,43;
;D.m;Nfp;30;2;dry_matter;20;7,9;20;50;0;29;N;;111221;1273;2323;;111221;120116;7,26;6,94;5,46;;48HRS;;0,32;
;stem;Nfp;30;2;stems;20;7,9;20;50;0;29;N;;111221;1274;2324;;111221;120116;16,72;15,43;5,46;;48HRS;;1,29;
;roots;Nfp;30;2;roots;20;7,9;20;50;0;29;N;;111221;1275;2325;;111221;120116;11,76;11,18;5,46;;48HRS;;0,58;
;NFP30-3-20 leaves;Nfp;30;3;leaves;20;7,9;20;50;0;29;N;;111221;1276;2326;;111221;120116;9,3;8,82;5,46;;48HRS;;0,48;
;D.m;Nfp;30;3;dry_matter;20;7,9;20;50;0;29;N;;111221;1277;2327;;111221;120116;7,2;6,9;5,46;;48HRS;;0,30;
;stem;Nfp;30;3;stems;20;7,9;20;50;0;29;N;;111221;1278;2328;;111221;120116;22,03;20,42;5,46;;48HRS;;1,61;
;roots;Nfp;30;3;roots;20;7,9;20;50;0;29;N;;111221;1279;2329;;111221;120116;11,53;10,87;5,46;;48HRS;;0,66;
;NFP14-1-50 leaves;Nfp;14;1;leaves;50;7,9;50;50;0;29;N;;111221;1280;2330;;111221;120116;8,99;8,6;5,46;;48HRS;;0,39;
;D.m;Nfp;14;1;dry_matter;50;7,9;50;50;0;29;N;;111221;1281;2331;;111221;120116;5,89;5,66;5,46;;48HRS;;0,23;
;stem;Nfp;14;1;stems;50;7,9;50;50;0;29;N;;111221;1282;2332;;111221;120116;9,24;8,73;5,46;;48HRS;;0,51;
;roots;Nfp;14;1;roots;50;7,9;50;50;0;29;N;;111221;1283;2333;;111221;120116;7,48;7,14;5,46;;48HRS;;0,34;
;NFP14-2-50 leaves;Nfp;14;2;leaves;50;7,9;50;50;0;29;N;;111221;1284;2334;;111221;120116;6,17;5,92;5,46;;48HRS;;0,25;
;D.m;Nfp;14;2;dry_matter;50;7,9;50;50;0;29;N;;111221;1285;2335;;111221;120116;6,04;5,77;5,46;;48HRS;;0,27;
;stem;Nfp;14;2;stems;50;7,9;50;50;0;29;N;;111221;1286;2336;;111221;120116;9,64;9,12;5,46;;48HRS;;0,52;
;roots;Nfp;14;2;roots;50;7,9;50;50;0;29;N;;111221;1287;2337;;111221;120116;7,58;7,2;5,46;;48HRS;;0,38;
;NFP14-3-50 leaves;Nfp;14;3;leaves;50;7,9;50;50;0;29;N;;111221;1288;2338;;111221;120116;5,88;5,66;5,46;;48HRS;;0,22;
;D.m;Nfp;14;3;dry_matter;50;7,9;50;50;0;29;N;;111221;1289;2339;;111221;120116;8,78;8,33;5,46;;48HRS;;0,45;
;stem;Nfp;14;3;stems;50;7,9;50;50;0;29;N;;111221;1290;2340;;111221;120116;24,18;22,55;5,46;;48HRS;;1,63;
;roots;Nfp;14;3;roots;50;7,9;50;50;0;29;N;;111221;1291;2341;;111221;120116;11,53;10,89;5,46;;48HRS;;0,64;
;NFP21-1-50 leaves;Nfp;21;1;leaves;50;7,9;50;50;0;29;N;;111221;1292;2342;;111221;120116;6,46;6,17;5,46;;48HRS;;0,29;
;D.m;Nfp;21;1;dry_matter;50;7,9;50;50;0;29;N;;111221;1293;2343;;111221;120116;6,28;5,96;5,46;;48HRS;;0,32;
;stem;Nfp;21;1;stems;50;7,9;50;50;0;29;N;;111221;1294;2344;;111221;120116;10,21;9,61;5,46;;48HRS;;0,60;
;roots;Nfp;21;1;roots;50;7,9;50;50;0;29;N;;111221;1295;2345;;111221;120116;7,29;6,98;5,46;;48HRS;;0,31;
;NFP21-2-50 leaves;Nfp;21;2;leaves;50;7,9;50;50;0;29;N;;111221;1296;2346;;111221;120116;7,61;7,24;5,46;;48HRS;;0,37;
;D.m;Nfp;21;2;dry_matter;50;7,9;50;50;0;29;N;;111221;1297;2347;;111221;120116;7,29;6,95;5,46;;48HRS;;0,34;
;stem;Nfp;21;2;stems;50;7,9;50;50;0;29;N;;111221;1298;2348;;111221;120116;14,13;13,2;5,46;;48HRS;;0,93;
;roots;Nfp;21;2;roots;50;7,9;50;50;0;29;N;;111221;1299;2349;;111221;120116;7,9;7,52;5,46;;48HRS;;0,38;
;NFP21-3-50 leaves;Nfp;21;3;leaves;50;7,9;50;50;0;29;N;;111221;1300;2350;;111221;120116;6,18;5,92;5,46;;48HRS;;0,26;
;D.m;Nfp;21;3;dry_matter;50;7,9;50;50;0;29;N;;111221;1301;2351;;111221;120116;6,82;6,53;5,46;;48HRS;;0,29;
;stem;Nfp;21;3;stems;50;7,9;50;50;0;29;N;;111221;1302;2352;;111221;120116;10,44;9,85;5,46;;48HRS;;0,59;
;roots;Nfp;21;3;roots;50;7,9;50;50;0;29;N;;111221;1303;2353;;111221;120116;6,89;6,6;5,46;;48HRS;;0,29;
;NFP2-1-50 leaves;Nfp;2;1;leaves;50;7,9;50;50;0;29;N;;111221;1304;2354;;111221;120116;8,65;8,21;5,46;;48HRS;;0,44;
;D.m;Nfp;2;1;dry_matter;50;7,9;50;50;0;29;N;;111221;1305;2355;;111221;120116;6,53;6,26;5,46;;48HRS;;0,27;
;stem;Nfp;2;1;stems;50;7,9;50;50;0;29;N;;111221;1306;2356;;111221;120116;12,18;11,4;5,46;;48HRS;;0,78;
;roots;Nfp;2;1;roots;50;7,9;50;50;0;29;N;;111221;1307;2357;;111221;120116;8,04;7,69;5,46;;48HRS;;0,35;
;NFP2-2-50 leaves;Nfp;2;2;leaves;50;7,9;50;50;0;29;N;;111221;1308;2358;;111221;120116;6,03;5,76;5,46;;48HRS;;0,27;
;D.m;Nfp;2;2;dry_matter;50;7,9;50;50;0;29;N;;111221;1309;2359;;111221;120116;6,16;5,89;5,46;;48HRS;;0,27;
;stem;Nfp;2;2;stems;50;7,9;50;50;0;29;N;;111221;1310;2360;;111221;120116;7,34;6,97;5,46;;48HRS;;0,37;
;roots;Nfp;2;2;roots;50;7,9;50;50;0;29;N;;111221;1311;2361;;111221;120116;6,38;6,14;5,46;;48HRS;;0,24;
;NFP2-3-50 leaves;Nfp;2;3;leaves;50;7,9;50;50;0;29;N;;111221;1312;2362;;111221;120116;5,87;5,61;5,46;;48HRS;;0,26;
;D.m;Nfp;2;3;dry_matter;50;7,9;50;50;0;29;N;;111221;1313;2363;;111221;120116;6,36;6,1;5,46;;48HRS;;0,26;
;stem;Nfp;2;3;stems;50;7,9;50;50;0;29;N;;111221;1314;2364;;111221;120116;7,49;7,13;5,46;;48HRS;;0,36;
;roots;Nfp;2;3;roots;50;7,9;50;50;0;29;N;;111221;1315;2365;;111221;120116;8,23;7,84;5,46;;48HRS;;0,39;
;NFP20-1-80 leaves;Nfp;20;1;leaves;80;7,9;80;80;0;29;N;;111221;1316;2366;;111221;120116;6,15;5,86;5,46;;48HRS;;0,29;
;D.m;Nfp;20;1;dry_matter;80;7,9;80;80;0;29;N;;111221;1317;2367;;111221;120116;6,27;6;5,46;;48HRS;;0,27;
;stem;Nfp;20;1;stems;80;7,9;80;80;0;29;N;;111221;1318;2368;;111221;120116;9,56;9,04;5,46;;48HRS;;0,52;
;roots;Nfp;20;1;roots;80;7,9;80;80;0;29;N;;111221;1319;2369;;111221;120116;7,67;7,34;5,46;;48HRS;;0,33;
;NFP20-2-80 leaves;Nfp;20;2;leaves;80;7,9;80;80;0;29;N;;111221;1320;2370;;111221;120116;empty;;5,46;;48HRS;;;
;D.m;Nfp;20;2;dry_matter;80;7,9;80;80;0;29;N;;111221;1321;2371;;111221;120116;7,16;6,83;5,46;;48HRS;;0,33;
;stem;Nfp;20;2;stems;80;7,9;80;80;0;29;N;;111221;1322;2372;;111221;120116;8,58;8,12;5,46;;48HRS;;0,46;
;roots;Nfp;20;2;roots;80;7,9;80;80;0;29;N;;111221;1323;2373;;111221;120116;6,94;6,62;5,46;;48HRS;;0,32;
;NFP20-3-80 leaves;Nfp;20;3;leaves;80;7,9;80;80;0;29;N;;111221;1324;2374;;111221;120116;8,66;8,2;5,46;;48HRS;;0,46;
;D.m;Nfp;20;3;dry_matter;80;7,9;80;80;0;29;N;;111221;1325;2375;;111221;120116;8,7;8,26;5,46;;48HRS;;0,44;
;stem;Nfp;20;3;stems;80;7,9;80;80;0;29;N;;111221;1326;2376;;111221;120116;31,9;29,61;5,46;;48HRS;;2,29;
;roots;Nfp;20;3;roots;80;7,9;80;80;0;29;N;;111221;1327;2377;;111221;120116;16,89;15,98;5,46;;48HRS;;0,91;
;NFP35-1-80 leaves;Nfp;35;1;leaves;80;7,9;80;80;0;29;N;;111221;1328;2378;;111221;120116;7,48;7,11;5,46;;48HRS;;0,37;
;D.m;Nfp;35;1;dry_matter;80;7,9;80;80;0;29;N;;111221;1329;2379;;111221;120116;7,87;7,43;5,46;;48HRS;;0,44;
;stem;Nfp;35;1;stems;80;7,9;80;80;0;29;N;;111221;1330;2380;;111221;120116;17,49;16,27;5,46;;48HRS;;1,22;
;roots;Nfp;35;1;roots;80;7,9;80;80;0;29;N;;111221;1331;2381;;111221;120116;8,87;7,77;5,46;;48HRS;;1,10;
;NFP35-2-80 leaves;Nfp;35;2;leaves;80;7,9;80;80;0;29;N;;111221;1332;2382;;111221;120116;5,9;5,66;5,46;;48HRS;;0,24;
;D.m;Nfp;35;2;dry_matter;80;7,9;80;80;0;29;N;;111221;1333;2383;;111221;120116;5,76;5,55;5,46;;48HRS;;0,21;
;stem;Nfp;35;2;stems;80;7,9;80;80;0;29;N;;111221;1334;2384;;111221;120116;7,94;6,99;5,46;;48HRS;;0,95;
;roots;Nfp;35;2;roots;80;7,9;80;80;0;29;N;;111221;1335;2385;;111221;120116;6,47;6,2;5,46;;48HRS;;0,27;
;NFP35-3-80 leaves;Nfp;35;3;leaves;80;7,9;80;80;0;29;N;;111221;1336;2386;;111221;120116;6,33;6,09;5,46;;48HRS;;0,24;
;D.m;Nfp;35;3;dry_matter;80;7,9;80;80;0;29;N;;111221;1337;2387;;111221;120116;6,14;5,9;5,46;;48HRS;;0,24;
;stem;Nfp;35;3;stems;80;7,9;80;80;0;29;N;;111221;1338;2388;;111221;120116;8,44;7,99;5,46;;48HRS;;0,45;
;roots;Nfp;35;3;roots;80;7,9;80;80;0;29;N;;111221;1339;2389;;111221;120116;7,99;7,65;5,46;;48HRS;;0,34;
;NFP47-1-80 leaves;Nfp;47;1;leaves;80;7,9;80;80;0;29;N;;111221;1340;2390;;111221;120116;6,5;6,24;5,46;;48HRS;;0,26;
;D.m;Nfp;47;1;dry_matter;80;7,9;80;80;0;29;N;;111221;1341;2391;;111221;120116;6,64;6,37;5,46;;48HRS;;0,27;
;stem;Nfp;47;1;stems;80;7,9;80;80;0;29;N;;111221;1342;2392;;111221;120116;12,02;11,28;5,46;;48HRS;;0,74;
;roots;Nfp;47;1;roots;80;7,9;80;80;0;29;N;;111221;1343;2393;;111221;120116;7,49;7,11;5,46;;48HRS;;0,38;
;NFP47-2-80 leaves;Nfp;47;2;leaves;80;7,9;80;80;0;29;N;;111221;1344;2394;;111221;120116;6,14;5,84;5,46;;48HRS;;0,30;
;D.m;Nfp;47;2;dry_matter;80;7,9;80;80;0;29;N;;111221;1345;2395;;111221;120116;9,38;9,19;5,46;;48HRS;;0,19;
;stem;Nfp;47;2;stems;80;7,9;80;80;0;29;N;;111221;1346;2396;;111221;120116;11,52;10,89;5,46;;48HRS;;0,63;
;roots;Nfp;47;2;roots;80;7,9;80;80;0;29;N;;111221;1347;2397;;111221;120116;9,47;7,13;5,46;;48HRS;;2,34;
;NFP47-3-80 leaves;Nfp;47;3;leaves;80;7,9;80;80;0;29;N;;111221;1348;2398;;111221;120116;5,85;5,62;5,46;;48HRS;;0,23;
;D.m;Nfp;47;3;dry_matter;80;7,9;80;80;0;29;N;;111221;1349;2399;;111221;120116;7,39;7,08;5,46;;48HRS;;0,31;
;stem;Nfp;47;3;stems;80;7,9;80;80;0;29;N;;111221;1350;2400;;111221;120116;8,19;7,79;5,46;;48HRS;;0,40;
;roots;Nfp;47;3;roots;80;7,9;80;80;0;29;N;;111221;1351;2401;;111221;120116;7,29;6,97;5,46;;48HRS;;0,32;
;1-CI-111221 leaves;Nfp;8;1;leaves;0;7,9;0;;0;29;CI;;111221;1352;2402;;111221;120116;7,03;6,74;5,46;;48HRS;high cylinder with no water inside;0,29;
;D.m;Nfp;8;1;dry_matter;0;7,9;0;;0;29;CI;;111221;1353;2403;;111221;120116;6,9;6,63;5,46;;48HRS;;0,27;
;stem;Nfp;8;1;stems;0;7,9;0;;0;29;CI;;111221;1354;2404;;111221;120116;13,8;12,98;5,46;;48HRS;;0,82;
;roots;Nfp;8;1;roots;0;7,9;0;;0;29;CI;;111221;1355;2405;;111221;120116;8,06;7,68;5,46;;48HRS;;0,38;
;8-2-CI111221 leaves;Nfp;8;2;leaves;0;7,9;0;;0;29;CI;;111221;1356;2406;;111221;120116;7,15;6,81;5,46;;48HRS;;0,34;
;D.m;Nfp;8;2;dry_matter;0;7,9;0;;0;29;CI;;111221;1357;2407;;111221;120116;7,45;7,13;5,46;;48HRS;;0,32;
;stem;Nfp;8;2;stems;0;7,9;0;;0;29;CI;;111221;1358;2408;;111221;120116;15,66;14,74;5,46;;48HRS;;0,92;
;roots;Nfp;8;2;roots;0;7,9;0;;0;29;CI;;111221;1359;2409;;111221;120116;8,02;7,62;5,46;;48HRS;;0,40;
;3-CI-111221 leaves;Nfp;8;3;leaves;0;7,9;0;;0;29;CI;;111221;1360;2410;;111221;120116;7,59;7,26;5,46;;48HRS;;0,33;
;D.m;Nfp;8;3;dry_matter;0;7,9;0;;0;29;CI;;111221;1361;2411;;111221;120116;8,5;8,07;5,46;;48HRS;;0,43;
;stem;Nfp;8;3;stems;0;7,9;0;;0;29;CI;;111221;1362;2412;;111221;120116;20,28;18,99;5,46;;48HRS;;1,29;
;roots;Nfp;8;3;roots;0;7,9;0;;0;29;CI;;111221;1363;2413;;111221;120116;8,6;8,24;5,46;;48HRS;;0,36;
;34-1-CI-111221 leaves;Nfp;34;1;leaves;0;7,9;;;0;29;CI;;111221;1364;2414;;111221;120116;6,92;6,63;5,46;;48HRS;;0,29;
;D.m;Nfp;34;1;dry_matter;0;7,9;;;0;29;CI;;111221;1365;2415;;111221;120116;7;6,66;5,46;;48HRS;;0,34;
;stem;Nfp;34;1;stems;0;7,9;;;0;29;CI;;111221;1366;2416;;111221;120116;13,85;12,9;5,46;;48HRS;;0,95;
;roots;Nfp;34;1;roots;0;7,9;;;0;29;CI;;111221;1367;2417;;111221;120116;8,08;7,74;5,46;;48HRS;;0,34;
;2-CI-111221 leaves;Nfp;34;2;leaves;0;7,9;;;0;29;CI;;111221;1368;2418;;111221;120116;6,17;5,95;5,46;;48HRS;;0,22;
