ID (plot);ID (sub-block);Location;Cylinder number;Plant number;Type;Water height (theoretical);Water height (true);Inst_Water_height;Max_water_height;Speed;Flooded days;Control;ID (repetition);ID (date);"ID
 (unique ID number)";ID NMK;Dry weight (g);"Date sent 
to Nbo";Date drying;"Weight before
drying chamber (g)";"Weight after 
drying chamber (g)";"Weight paper
 bag (g)";Weight plastic bag (g);Drying duration;Comments;Dry_Matter;
;D.M;Nfp;41;1;dry_matter;20;15;20;20;3;7;N;;111129;1098;2147;;111128;111202;8,48;8,28;7,3;;48HRS;;0,20;
;Stems;Nfp;41;1;stems;20;15;20;20;3;7;N;;111129;1099;2148;;111128;111202;8,74;8,43;7,3;;48HRS;;0,31;
;roots;Nfp;41;1;roots;20;15;20;20;3;7;N;;111129;1100;2149;;111128;111202;7,98;7,62;7,2;;48HRS;;0,36;
;NFP-41-2 Leaves;Nfp;41;2;leaves;20;15;20;20;3;7;N;;111129;1101;2150;;111128;111202;7,34;7,15;7,2;;48HRS;;0,19;
;D.M;Nfp;41;2;dry_matter;20;15;20;20;3;7;N;;111129;1102;2151;;111128;111202;10,26;9,11;7,3;;48HRS;;1,15;
;Stems;Nfp;41;2;stems;20;15;20;20;3;7;N;;111129;1103;2152;;111128;111202;12,21;11,48;7,2;;48HRS;;0,73;
;roots;Nfp;41;2;roots;20;15;20;20;3;7;N;;111129;1104;2153;;111128;111202;8,64;8,02;7,3;;48HRS;;0,62;
;NFP-41-3 Leaves;Nfp;41;3;leaves;20;15;20;20;3;7;N;;111129;1105;2154;;111128;111202;7,42;7,27;7,2;;48HRS;;0,15;
;D.M;Nfp;41;3;dry_matter;20;15;20;20;3;7;N;;111129;1106;2155;;111128;111202;10,86;9,92;7,3;;48HRS;;0,94;
;Stems;Nfp;41;3;stems;20;15;20;20;3;7;N;;111129;1107;2156;;111128;111202;16,32;14,29;7,3;;48HRS;;2,03;
;roots;Nfp;41;3;roots;20;15;20;20;3;7;N;;111129;1108;2157;;111128;111202;10,43;9,35;7,3;;48HRS;;1,08;
;NPF28-1-20 - leaves;Nfp;28;1;leaves;20;41,5;42;42;3;14;N;;111206;1072;2122;;111221;111222;4,21;3,98;3,67;;48HRS;;0,23;
;D.m;Nfp;28;1;dry_matter;20;41,5;42;42;3;14;N;;111206;1073;2123;;111221;111222;4,96;4,81;3,67;;48HRS;;0,15;
;stem;Nfp;28;1;stems;20;41,5;42;42;3;14;N;;111206;1074;2124;;111221;111222;10,21;9,13;3,67;;48HRS;;1,08;
;roots;Nfp;28;1;roots;20;41,5;42;42;3;14;N;;111206;1075;2125;;111221;111222;4,81;4,68;3,67;;48HRS;;0,13;
;NPF28-2-20 - leaves;Nfp;28;2;leaves;20;41,5;42;42;3;14;N;;111206;1076;2126;;111221;111222;4,26;4,08;3,67;;48HRS;;0,18;
;D.m;Nfp;28;2;dry_matter;20;41,5;42;42;3;14;N;;111206;1077;2127;;111221;111222;5,81;5,64;3,67;;48HRS;;0,17;
;stem;Nfp;28;2;stems;20;41,5;42;42;3;14;N;;111206;1078;2128;;111221;111222;9,14;8,96;3,67;;48HRS;;0,18;
;roots;Nfp;28;2;roots;20;41,5;42;42;3;14;N;;111206;1079;2129;;111221;111222;4,92;4,71;3,67;;48HRS;;0,21;
;NFP-28-3-20 - leaves;Nfp;28;3;leaves;20;41,5;42;42;3;14;N;;111206;1080;2130;;111221;111222;4,31;4,04;3,67;;48HRS;;0,27;
;D.m;Nfp;28;3;dry_matter;20;41,5;42;42;3;14;N;;111206;1081;2131;;111221;111222;5,76;5,58;3,67;;48HRS;;0,18;
;stem;Nfp;28;3;stems;20;41,5;42;42;3;14;N;;111206;1082;2132;;111221;111222;10,12;9,84;3,67;;48HRS;;0,28;
